;
39756;
39756;
15197;
39756;
39756;
36949;
39756;
39756;
15967;
39756;
31724;
15022;
31724;
15018;
14995;
14528;
14734;
14513;
14687;
31724;
39756;
14577;
15011;
16094;
15018;
15011;
14998;
16101;
14734;
15570;
14965;
31724;
39756;
15013;
15048;
14581;
16095;
15018;
39756;
30251;
40963;
37125;
15566;
15898;
14820;
15100;
15018;
17837;
15457;
39756;
15022;
16094;
31724;
15029;
16171;
15023;
14995;
15448;
15472;
39504;
14546;
14528;
14561;
40990;
14978;
15432;
15654;
14561;
15354;
15672;
15615;
15678;
14974;
15681;
21583;
39756;
15566;
15448;
39756;
16211;
36949;
39756;
39756;
39756;
15013;
14734;
15013;
14984;
15022;
15520;
14965;
16035;
15996;
15580;
39055;
34794;
15529;
37218;
15180;
15011;
27618;
16052;
40990;
14984;
14969;
39756;
14542;
15064;
16068;
14635;
39055;
16052;
20696;
15015;
15681;
16141;
14561;
39756;
39756;
39756;
39756;
30251;
14532;
14963;
15044;
15112;
16052;
15045;
16040;
16128;
16029;
14642;
14642;
14528;
14513;
31724;
39756;
16006;
16094;
39756;
14754;
15967;
15171;
14577;
30269;
35912;
16171;
39756;
39756;
39756;
39994;
39994;
39055;
14996;
15938;
39756;
23464;
21288;
37670;
15013;
40990;
39756;
16132;
14746;
15430;
15448;
16029;
15015;
15012;
14534;
15654;
15011;
15163;
15596;
15354;
16057;
16095;
15580;
17837;
15604;
14609;
16172;
14986;
15358;
15448;
14984;
14974;
15472;
39756;
15013;
15520;
22810;
22810;
16172;
16095;
15163;
36196;
20667;
39055;
15269;
37454;
15044;
38057;
15008;
14555;
14547;
39756;
39756;
39756;
39756;
39994;
15580;
16074;
14528;
16095;
14974;
15943;
40658;
39756;
14544;
14544;
40990;
14746;
15570;
14547;
15654;
14528;
15235;
39756;
37002;
15757;
15011;
29359;
15778;
30251;
30251;
30251;
30251;
30251;
15226;
14986;
15448;
15001;
15013;
14558;
15015;
14991;
15058;
14550;
15012;
14546;
15011;
15018;
14561;
15291;
15346;
14928;
15030;
14566;
15180;
15354;
15156;
39756;
15962;
15962;
15962;
39756;
15239;
15360;
15346;
14665;
14974;
39756;
30427;
15944;
20659;
15944;
14642;
14626;
14548;
15570;
15354;
16128;
15679;
22415;
15029;
14563;
15520;
16014;
20503;
30253;
27618;
16094;
15545;
39055;
20503;
14513;
15678;
15733;
18011;
15580;
39756;
15959;
14548;
16076;
14998;
15023;
20732;
15351;
39309;
14528;
39756;
15566;
37670;
22810;
39756;
15944;
32464;
38063;
15641;
15008;
38456;
39756;
39756;
39756;
39756;
39756;
39756;
20749;
39756;
32464;
39994;
39055;
15678;
39756;
14975;
15604;
41151;
39055;
14996;
14996;
15567;
39756;
14581;
15580;
15074;
39756;
15678;
14544;
30251;
15635;
15356;
40990;
14782;
15015;
15430;
15430;
15024;
14986;
14986;
15509;
15013;
15255;
14558;
14558;
14587;
15058;
14523;
15059;
14534;
15222;
14557;
14580;
15048;
39756;
14577;
15018;
14561;
14974;
14528;
16081;
14962;
14962;
14964;
14515;
15452;
24038;
16209;
39756;
15530;
15354;
15582;
15018;
39756;
15012;
15383;
15156;
16210;
15126;
15609;
15962;
15962;
15383;
39756;
14581;
14774;
15360;
15580;
38533;
17986;
15126;
14734;
15678;
15678;
15690;
16029;
15345;
15687;
39756;
21972;
14734;
14774;
15203;
30353;
15022;
15448;
16128;
16161;
39756;
15650;
15650;
15650;
15650;
14963;
15016;
17983;
15654;
14547;
15012;
14547;
30367;
22483;
16094;
14642;
20622;
14546;
14660;
39756;
27718;
15597;
15472;
22016;
15521;
14558;
15986;
15015;
14998;
16095;
38935;
16206;
15360;
14556;
15650;
17984;
15448;
15015;
15055;
15678;
39766;
39756;
39756;
39756;
15015;
15345;
15090;
15609;
15571;
15507;
37445;
39756;
15967;
15571;
15132;
20503;
15580;
15580;
39756;
15509;
14587;
15029;
15599;
15424;
14961;
20749;
15482;
20667;
21111;
20503;
15203;
21805;
18569;
21315;
39055;
39055;
22567;
15297;
15609;
18393;
36754;
14547;
15457;
16004;
34794;
14926;
15959;
16128;
16094;
39756;
16074;
14558;
16095;
38186;
34794;
39756;
37415;
15678;
15678;
39756;
16094;
37607;
16171;
38070;
37989;
38048;
38054;
26492;
30269;
15597;
38056;
15048;
14547;
15432;
16171;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
15022;
15018;
15247;
15675;
14976;
14748;
30405;
39190;
38935;
14974;
39756;
39756;
31724;
40200;
29359;
15457;
27618;
39756;
16172;
39756;
15580;
38935;
17974;
14544;
14544;
15247;
16068;
17986;
37445;
14558;
14982;
15457;
14974;
15074;
14558;
39756;
39756;
15247;
14740;
14974;
39756;
39756;
15521;
15076;
15136;
15509;
14544;
37670;
16135;
39756;
42201;
15360;
14961;
40990;
39756;
15943;
39755;
40990;
15065;
40990;
40990;
15943;
22810;
15132;
15979;
15986;
14558;
14558;
15226;
39756;
14978;
15430;
15024;
15055;
14986;
15509;
15509;
15432;
15448;
15448;
15448;
15448;
15448;
14948;
14987;
14987;
14543;
14969;
14948;
14982;
15432;
15509;
15509;
15013;
14581;
16006;
14993;
14993;
14993;
14558;
14558;
15337;
15059;
14635;
15654;
14546;
15223;
15223;
15012;
15433;
15048;
15238;
15653;
15520;
15049;
15465;
39756;
14992;
14561;
15011;
15018;
15076;
14604;
15076;
15259;
15018;
15018;
14974;
14528;
14962;
14576;
15469;
14998;
14998;
15023;
15269;
15596;
15354;
15509;
16095;
15076;
15541;
15570;
39756;
15507;
15654;
15681;
15346;
15416;
14821;
15615;
39756;
14746;
21545;
15156;
15958;
16236;
16172;
15946;
15957;
15955;
15360;
15481;
14774;
15346;
20749;
15451;
23172;
15580;
15521;
17986;
15001;
15433;
15012;
15570;
15570;
16035;
16052;
15687;
15687;
16095;
15457;
15269;
16172;
16172;
21972;
15472;
14570;
16053;
15381;
16129;
15580;
15580;
16020;
30427;
16232;
16175;
15621;
15606;
39756;
14961;
39073;
15434;
39756;
14561;
15569;
16095;
15163;
15345;
15943;
14553;
15650;
15650;
15650;
14795;
16175;
16175;
14984;
15430;
17986;
16172;
15571;
16393;
15029;
20641;
15029;
14819;
15029;
15012;
39756;
39756;
39756;
18011;
18011;
16094;
14799;
16175;
15509;
15382;
15521;
15013;
16129;
22415;
22415;
15373;
21972;
18247;
15451;
15300;
30209;
15618;
15520;
22953;
15566;
15615;
15521;
20948;
15472;
15472;
15472;
15472;
15944;
15102;
16175;
15300;
15468;
15580;
16095;
15525;
18263;
15372;
16211;
15509;
15681;
39756;
39055;
15681;
15521;
14513;
15681;
39756;
15609;
15426;
15733;
15587;
15609;
31724;
16128;
39756;
39756;
23294;
20503;
39756;
39756;
22810;
15566;
15020;
14581;
22358;
15482;
15011;
16068;
15008;
14584;
16128;
15434;
15541;
16069;
15426;
15529;
39756;
20503;
15532;
30928;
15509;
15566;
15580;
15521;
23349;
15360;
14558;
15255;
21601;
16132;
15012;
14645;
15566;
39346;
27636;
27636;
15678;
15678;
16094;
36196;
36260;
24038;
23428;
15641;
15059;
21111;
39055;
15979;
15509;
39756;
33882;
15988;
38089;
15609;
15678;
41401;
41401;
15185;
39055;
14917;
20813;
15137;
15541;
15521;
23349;
27636;
14546;
36580;
16096;
36754;
15448;
15599;
15566;
15860;
15064;
34794;
14708;
14734;
39756;
14928;
15354;
31724;
32518;
34982;
15345;
37125;
14985;
38935;
39756;
20503;
15507;
14993;
16222;
15581;
14986;
15434;
39756;
14584;
14985;
32464;
15975;
39756;
15482;
39756;
39756;
37436;
39756;
39756;
37415;
15360;
21279;
16128;
16171;
15654;
39163;
37415;
15521;
16171;
16171;
16171;
16171;
16171;
37994;
38024;
37999;
38036;
38002;
38048;
38071;
38001;
38012;
15895;
14964;
16171;
15529;
38002;
15234;
15529;
39190;
14964;
15944;
15580;
15580;
15580;
14530;
15023;
39055;
15509;
15448;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
39756;
16171;
15541;
37777;
14734;
15746;
14642;
15041;
15967;
39055;
39055;
37321;
17974;
39055;
15481;
15482;
41151;
14641;
17974;
39756;
15457;
15300;
16092;
15376;
38881;
15379;
40070;
15541;
15541;
14996;
15609;
23984;
15297;
39756;
15434;
23984;
15015;
15944;
15012;
29275;
15615;
14734;
40972;
29359;
15678;
39756;
39756;
15430;
15542;
16219;
15542;
15965;
14976;
36196;
15297;
14974;
15973;
41288;
27618;
39756;
39756;
39756;
39756;
39756;
39756;
16172;
39756;
39055;
39055;
23984;
14589;
39263;
20595;
16172;
15086;
16128;
15055;
14558;
14558;
14547;
39055;
39055;
20802;
15102;
15448;
14561;
41593;
15938;
15088;
18464;
15023;
15345;
15481;
23984;
15432;
15153;
42244;
34794;
42146;
15541;
31786;
15521;
42152;
42155;
15451;
39756;
39756;
23984;
36580;
15570;
15570;
42270;
15463;
15580;
15448;
39756;
14558;
39756;
42236;
15100;
14587;
34794;
15597;
15597;
39756;
15654;
14974;
15654;
20813;
15678;
15678;
39756;
27636;
14974;
42174;
39756;
39756;
14993;
14529;
39756;
39756;
39756;
15521;
14661;
15372;
15432;
15044;
15016;
42174;
15605;
15346;
15346;
15509;
23464;
14852;
30251;
30251;
15977;
14974;
42172;
39055;
37777;
26226;
39365;
42237;
15347;
39756;
15566;
15008;
42197;
15360;
15426;
39756;
37436;
40990;
40990;
38855;
42155;
42199;
15451;
15943;
42335;
15012;
40990;
42155;
15041;
37445;
15347;
38727;
22810;
22810;
20430;
39994;
39994;
15481;
15446;
15979;
14862;
14974;
15015;
15581;
15507;
15507;
14702;
14978;
15507;
15507;
15507;
15430;
15507;
15507;
15507;
15507;
15507;
15430;
15507;
15430;
15430;
15430;
15507;
15507;
14978;
15024;
14982;
14986;
14986;
14986;
15509;
15432;
15448;
15269;
15269;
15448;
15448;
14984;
15448;
14984;
14984;
14984;
14984;
15448;
15448;
15001;
15570;
14969;
14969;
14985;
14948;
14948;
14948;
14982;
14982;
14982;
15592;
15576;
15025;
15013;
14588;
15979;
16095;
16092;
16092;
16092;
14993;
14993;
14993;
14993;
14699;
14699;
15015;
15015;
14699;
15020;
15468;
15034;
15034;
14542;
14542;
14542;
14523;
14523;
14534;
15433;
15654;
14999;
14534;
14695;
14980;
14550;
14995;
14546;
14698;
15012;
15223;
14546;
15223;
14975;
14963;
15240;
15240;
15099;
15100;
15100;
14534;
15654;
15222;
15222;
15030;
15030;
15030;
14580;
15433;
39756;
14566;
14566;
14566;
15048;
15048;
15048;
15238;
15048;
15048;
15566;
15434;
15434;
15434;
15434;
15434;
15049;
15049;
15064;
15582;
15582;
14992;
37445;
14687;
15011;
15011;
15011;
15018;
15018;
15018;
14561;
15516;
39756;
15450;
15450;
15661;
14561;
15088;
14528;
14694;
17837;
17837;
15016;
14974;
14528;
14974;
14974;
14528;
14974;
14974;
14528;
14613;
