id;name;parent_id;
14691;AZZARO;14509
14692;BURBERRY;14509
14693;CALVIN KLEIN;14509
14694;CAROLINA HERRERA;14509
14695;DAVIDOFF;14509
14696;HUGO BOSS;14509
14697;ISSEY MIYAKE;14509
14698;JEAN PAUL GAULTIER;14509
14699;PACO RABANNE;14509
14700;MUGLER;14509
14701;BIOTHERM;14509
14702;CLINIQUE;14509
14703;DOLCE & GABBANA;14509
14704;HERMÈS;14509
14705;JOOP;14509
14706;LACOSTE;14509
14707;NIKOS;14509
14708;OLD SPICE;18069
14710;YVES SAINT LAURENT;14509
14711;CLARINS;14509
14712;ARAMIS;14509
14713;ARMAND BASI;14509
14714;BVLGARI;14509
14715;CARTIER;14509
14716;CERRUTI;14509
14718;GUCCI;14509
14719;JIL SANDER;14509
14720;PRADA;14509
14721;TOMMY HILFIGER;14509
14722;TOUS;14509
14723;CHANEL;14509
14724;DIOR;14509
14725;LOEWE;14509
14726;MARC JACOBS;14509
14727;NARCISO RODRIGUEZ;14509
14728;KENZO;14509
14729;ANGEL SCHLESSER;14509
14730;GIVENCHY;14509
14733;COLLISTAR;14509
14734;GILLETTE;18069
14735;L'OCCITANE;14509
14737;ACQUA DI PARMA;14509
14738;MERCEDES BENZ;14509
14739;LAB SERIES;14509
14740;FLOÏD;18069
14741;AMERICAN CREW;14509
14742;GIANFRANCO FERRÉ;14509
14743;4711;14509
14744;AVEDA;14509
14745;ROBERTO CAVALLI;14509
14746;AXE;18069
14747;SHISEIDO;14509
14748;THE BLUEBEARDS REVENGE;14509
14749;MANDARINA DUCK;14509
14751;DSQUARED2;14509
14752;KARL LAGERFELD;14509
14753;PAL ZILERI;14509
14754;MONTBLANC;14509
14755;BOUCHERON;14509
14756;VALENTINO;14509
14757;GUERLAIN;14509
14758;ANNE MÖLLER;14509
14760;ALQVIMIA;14509
14762;BYBLOS;18069
14763;GAI MATTIOLO;18069
14765;ICEBERG;18069
14766;MAUBOUSSIN;18069
14768;MONTANA;14509
14770;SOMATOLINE;14509
14772;PINO SILVESTRE;18069
14774;NIVEA;18069
14775;BABARIA;18069
14776;BETER;18069
14777;ERMENEGILDO ZEGNA;14509
14778;BENTLEY;14509
14779;LALIQUE;14509
14781;ETIENNE AIGNER;14509
14782;DOVE;18069
14783;LIDA;18069
14784;PARFUMS GRÈS;14509
14785;SKEYNDOR;14509
14786;VIKTOR & ROLF;14509
14787;TRUSSARDI;14509
14788;JAGUAR;14509
14789;TULIPÁN NEGRO;18069
14794;ZADIG & VOLTAIRE;14509
14795;SANEX ;18069
14796;ABERCROMBIE & FITCH;14509
14797;BALDESSARINI;14509
14798;BIOTHERM;14510
14799;CLINIQUE;14510
14800;LANCÔME;14510
14801;SHISEIDO;14510
14802;LAB SERIES;14510
14803;CLARINS;14510
14804;DECLÉOR;14510
14805;HUGO BOSS;14510
14806;COLLISTAR;14510
14807;DIOR;14510
14808;ISSEY MIYAKE;14510
14809;VICHY;14510
14811;ANNE MÖLLER;14510
14812;ADOLFO DOMINGUEZ;14510
14813;NUXE;18069
14814;L'ORÉAL PARIS;14510
14815;ACQUA DI PARMA;14510
14816;THALGO;14510
14819;LEA;18069
14820;WILLIAMS EXPERT;18069
14821;LA TOJA;18069
14823;SKEYNDOR;14510
14826;VIKTOR & ROLF;14510
14828;TRUSSARDI;14510
14829;GIVENCHY;14510
14832;JAGUAR;14510
14833;PRORASO;18069
14834;JEANNE PIAUBERT ;14510
14835;PAYOT;14510
14836;SISLEY;14510
14837;ERMENEGILDO ZEGNA;14511
14838;CALVIN KLEIN;14511
14839;TOMMY HILFIGER;14511
14840;ZIPPO;18091
18091;Gifts;18027
14841;HUGO BOSS;14511
14843;DOLCE & GABBANA;14511
14844;GUCCI;14511
14845;ROCHAS;14511
14846;LAURA BIAGIOTTI;14511
14847;LACOSTE;14511
14848;BVLGARI;14511
14849;GIVENCHY;14511
14850;KENZO;14511
14851;ULRIC DE VARENS;18091
14852;HERMÈS;14511
14853;GUERLAIN;14511
14854;DIOR;14511
14855;PACO RABANNE;14511
14856;AZZARO;14511
14857;RALPH LAUREN;14511
14858;YVES SAINT LAURENT;14511
14859;CLARINS;14511
14860;BURBERRY;14511
14861;BOUCHERON;14511
14862;MONTBLANC;14511
14863;NARCISO RODRIGUEZ;14511
14864;JEAN PAUL GAULTIER;14511
14865;ISSEY MIYAKE;14511
14866;CARTIER;14511
14867;MUGLER;14511
14868;SISLEY;14511
14869;SHISEIDO;14511
14870;GIORGIO ARMANI;14511
14871;BIOTHERM;14511
14872;DAVIDOFF;14511
14873;MARC JACOBS;14511
14874;JIL SANDER;14511
14875;JOOP;14511
14876;ROBERTO CAVALLI;14511
14877;4711;14511
14878;OLD SPICE;18091
14879;GILLETTE;18091
14880;DENIM;18091
14881;MOSCHINO;14511
14883;VERSACE;18091
14884;DSQUARED2;14511
14885;COLLISTAR;14511
14886;ACQUA DI PARMA;14511
14887;SALVATORE FERRAGAMO;14511
14888;ADOLFO DOMINGUEZ;14511
14889;MASSIMO DUTTI;18091
14890;PUIG;18091
14891;VICTORIO & LUCCHINO;18091
14892;CAROLINA HERRERA;14511
14893;PACHA;18091
14894;ANTONIO BANDERAS;18091
14895;VALENTINO;14511
14896;MANGO;18091
14898;TABAC ORIGINAL;18091
14899;NIKE;18091
14901;LOEWE;14511
14903;ANGEL SCHLESSER;14511
14904;ARMAND BASI;14511
14905;MANDARINA DUCK;14511
14906;ROBERTO VERINO;14511
14907;HALLOWEEN;14511
14908;PRADA;14511
14909;TOUS;14511
14910;VICINANZA;18091
14911;KARL LAGERFELD;14511
14912;CERRUTI;14511
14913;AMERICAN CREW;14511
14915;CONCEPT V DESIGN;18091
14916;INSTITUTO ESPAÑOL;18091
14917;DOVE;18091
14918;ADIDAS;18091
14920;ETIENNE AIGNER;14511
14921;CARIBBEAN JOE;18091
